what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1269571547843
os,sysinfo,,,"win32",1269571547843
arch,sysinfo,,,"x86",1269571547843
ws,sysinfo,,,"win32",1269571547843
locale,sysinfo,,,"es_CO",1269571547843
processors,sysinfo,,,"2",1269571547843
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1269571547843
java.runtime.version,sysinfo,,,"1.6.0_13-b03",1269571547843
java.specification.name,sysinfo,,,"Java Platform API Specification",1269571547843
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1269571547843
java.specification.version,sysinfo,,,"1.6",1269571547859
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1269571547859
java.version,sysinfo,,,"1.6.0_13",1269571547859
java.vm.info,sysinfo,,,"mixed mode",1269571547859
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1269571547859
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1269571547859
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1269571547859
java.vm.specification.version,sysinfo,,,"1.0",1269571547859
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1269571547859
java.vm.version,sysinfo,,,"11.3-b02",1269571547859
started,bundle,org.eclipse.mylyn.team.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.team.ui",1269571547859
started,bundle,org.eclipse.uml2.diagram.common,0.9.0.v200906190654,"org.eclipse.uml2.diagram.common",1269571547953
started,bundle,org.eclipse.emf.common,2.5.0.v200906151043,"org.eclipse.emf.common",1269571548015
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1269571548015
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1269571548015
