what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1274221690203
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1274221690203
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1274221690203
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1274221690203
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1274221690203
os,sysinfo,,,"win32",1274221690203
arch,sysinfo,,,"x86",1274221690203
ws,sysinfo,,,"win32",1274221690203
locale,sysinfo,,,"es_CO",1274221690203
processors,sysinfo,,,"2",1274221690203
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1274221690218
java.runtime.version,sysinfo,,,"1.6.0_13-b03",1274221690218
java.specification.name,sysinfo,,,"Java Platform API Specification",1274221690218
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1274221690218
java.specification.version,sysinfo,,,"1.6",1274221690218
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1274221690218
java.version,sysinfo,,,"1.6.0_13",1274221690218
java.vm.info,sysinfo,,,"mixed mode, sharing",1274221690218
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1274221690218
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1274221690218
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1274221690218
java.vm.specification.version,sysinfo,,,"1.0",1274221690218
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1274221690218
java.vm.version,sysinfo,,,"11.3-b02",1274221690218
started,bundle,org.eclipse.epp.usagedata.ui,1.1.0.R200906100410,"org.eclipse.epp.usagedata.ui",1274221691281
