what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"2",1269691146625
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1269691146625
java.runtime.version,sysinfo,,,"1.6.0_13-b03",1269691146625
java.specification.name,sysinfo,,,"Java Platform API Specification",1269691146625
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1269691146625
java.specification.version,sysinfo,,,"1.6",1269691146625
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1269691146625
java.version,sysinfo,,,"1.6.0_13",1269691146625
java.vm.info,sysinfo,,,"mixed mode",1269691146625
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1269691146625
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1269691146625
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1269691146625
java.vm.specification.version,sysinfo,,,"1.0",1269691146625
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1269691146625
java.vm.version,sysinfo,,,"11.3-b02",1269691146625
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.0.v20090520-1905,"org.eclipse.equinox.p2.updatechecker",1269691146640
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.scheduler",1269691146718
started,bundle,org.eclipse.m2m.atl.adt.ui,3.0.1.v200909150941,"org.eclipse.m2m.atl.adt.ui",1269691146796
started,bundle,org.eclipse.mylyn.team.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.team.ui",1269691146906
started,bundle,org.eclipse.uml2.diagram.common,0.9.0.v200906190654,"org.eclipse.uml2.diagram.common",1269691147125
started,bundle,org.eclipse.emf.common,2.5.0.v200906151043,"org.eclipse.emf.common",1269691147203
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1269691147546
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1269691147546
started,bundle,org.eclipse.emf.ecore,2.5.0.v200906151043,"org.eclipse.emf.ecore",1269691147546
started,bundle,org.eclipse.uml2.uml,3.0.1.v200908281330,"org.eclipse.uml2.uml",1269691147906
